artist_credit,position,artist,name
id-230792,0,id-230792,Chomp
id-800941,0,id-800941,Abberation
id-510867,0,id-510867,The Minis
id-327421,0,id-327421,The Dead Shores
id-538064,0,id-538064,Royal
id-253159,0,id-253159,Quasimodo Jones
id-1689633,0,id-1354086,Kim Myong Duk
id-306972,0,id-306972,Stone Players
id-3305645,0,id-2340121,Homeebode
id-664880,0,id-664880,Sebastian Buchholz
id-756582,0,id-756582,The Lean Years Tradition
id-462355,0,id-462355,Malty Media
id-1219635,0,id-1045155,ВИА М.М.М.
id-3223927,0,id-1736156,Ruby Netherwood
id-138819,0,id-138819,Digimind
id-1386949,0,id-1168656,Sego
id-649839,0,id-649839,Exodus Labz
id-519979,0,id-519979,GTMK
id-997017,0,id-897413,The Ex Senators
id-355640,0,id-355640,Babbling Brook
id-419081,0,id-419081,Dose3
id-223125,0,id-223125,The Thieves
id-706810,0,id-706810,Qrypto
id-774261,0,id-774261,Dresden
id-1175480,0,id-1014733,Laughingcrows
id-1210866,0,id-1038248,Searching for Reason
id-520207,0,id-520207,Jimmy Lane  The Incredible Five
id-202758,0,id-202758,The Cooperettes
id-3007692,0,id-2169434,Morphide
id-525565,0,id-525565,Tony Lionni
id-762774,0,id-762774,Eldon Taylor
id-500563,0,id-500563,The Professeurs of Economics
id-153807,0,id-153807,Traction
id-456760,0,id-456760,Dragan
id-501957,0,id-501957,Johnnie Johnston
id-189269,0,id-189269,Mono Meltdown
id-1004247,0,id-901373,Dinosaurs Are Shit Dragons
id-1001026,0,id-702149,Super Best Friends Club
id-1536228,0,id-1271827,Mosley Bar
id-230968,0,id-230968,The Dolly Rockers
id-625126,0,id-625126,Silver Futures
id-162234,0,id-162234,AKIMANEOS
id-341988,0,id-341988,Futuristic Sex Robotz
id-695046,0,id-695046,Hivoh
id-651638,0,id-651638,ДжетЪ
id-3224328,0,id-2291712,OIO
id-427943,0,id-427943,LeighStarDust
id-770062,0,id-770062,Elaine Greer
id-702960,0,id-702960,Bl00dsuck1ng Fr34k
id-546670,0,id-546670,The Pantheon
id-854664,0,id-824841,EPB Pan Pacific
id-875157,0,id-355840,Die In Progress
id-105185,0,id-105185,Lou Busch  His Orchestra
id-2819824,0,id-2051292,Jesse Bloch
