artist_credit,name,artist_count,ref_count,created
id-58185,Plank 15,1,23,2011-05-16 163211.963929+00
id-586685,Third Troll,1,28,2011-05-16 163211.963929+00
id-2083231,Werian,1,41,2017-10-05 081035.305284+00
id-727759,Pavlo V,1,6,2011-05-16 163211.963929+00
id-954666,Farace,1,10,2012-03-10 132905.988543+00
id-181754,Brise-Glace,1,27,2011-05-16 163211.963929+00
id-204696,Imperial Project,1,70,2011-05-16 163211.963929+00
id-616678,Felix Kubin und das Mineralorchester,1,97,2011-05-16 163211.963929+00
id-48663,Will N Charlie,1,14,2011-05-16 163211.963929+00
id-3373949,ChessBoxer,1,9,2022-08-13 225030.424172+00
id-2770689,Ernie Earnest Jim Boling  William Goldstein,3,20,2020-08-03 020059.242067+00
id-691407,Jack Dockery  The Lonely Drifters,1,6,2011-05-16 163211.963929+00
id-240207,Base Force One,1,46,2011-05-16 163211.963929+00
id-1382688,Amir Alexander,1,63,2014-10-29 130054.928891+00
id-300058,Mind-A-Stray,1,10,2011-05-16 163211.963929+00
id-1098337,88 till invinity,1,2,2012-12-18 193812.004967+00
id-1008393,Indian Cherry,1,6,2012-06-30 220055.840144+00
id-141024,Willie Villegas y Entre Amigos,1,42,2011-05-16 163211.963929+00
id-1182398,The GOOD Directorate,1,66,2013-06-25 043802.333021+00
id-54751,Innermeans,1,16,2011-05-16 163211.963929+00
id-582887,Illzilla,1,6,2011-05-16 163211.963929+00
id-582880,Jillamatong,1,12,2011-05-16 163211.963929+00
rec-1208278-dup-0,DJ Dug Rush,1,8,2013-08-21 193015.523031+00
id-671026,Bloto,1,2,2011-05-16 163211.963929+00
id-713731,Petra Marlene,1,6,2011-05-16 163211.963929+00
id-1219393,Under Club Project,1,2,2013-09-23 144440.43275+00
id-48005,Set Up System,1,84,2011-05-16 163211.963929+00
id-24307,Full Speed,1,52,2011-05-16 163211.963929+00
id-1497997,Madame Bovary,1,44,2015-06-26 194517.831159+00
id-341121,Jon Frank,1,4,2011-05-16 163211.963929+00
id-2648082,Alexi  Daniel Feels,2,4,2020-03-12 004937.437282+00
id-2648083,DOMENICO,1,4,2020-03-12 005859.962078+00
rec-524953-dup-1,Edvvard Barrow,1,16,2011-05-16 163211.963929+00
rec-870810-dup-0,oldwyomong.,1,8,2011-10-16 205421.554511+00
rec-870810-dup-1,oldwy0ming.,1,8,2011-10-16 205421.554511+00
id-988488,Ptarkh  WMRI,2,6,2012-05-22 124603.256768+00
id-297801,Alexis Cone,1,4,2011-05-16 163211.963929+00
id-707349,Tenspeed Warlock,1,10,2011-05-16 163211.963929+00
id-682949,The Cheese Band,1,10,2011-05-16 163211.963929+00
id-299189,Captain Supreme,1,14,2011-05-16 163211.963929+00
id-2536878,Andreas Diehlmann Band,1,92,2019-11-04 085843.846799+00
id-551386,Chinese Bamboo Flute Music,1,4,2011-05-16 163211.963929+00
id-554409,Chris Parry  The Mockers,1,6,2011-05-16 163211.963929+00
id-794508,Mady Kouyate,1,12,2011-05-16 163211.963929+00
id-672599,The Drummies,1,6,2011-05-16 163211.963929+00
id-465661,The Bridal Shop,1,67,2011-05-16 163211.963929+00
id-350007,Alsvartr,1,18,2011-05-16 163211.963929+00
id-453549,Beauty School,1,19,2011-05-16 163211.963929+00
id-60976,C90,1,11,2011-05-16 163211.963929+00
id-589501,DJG,1,72,2011-05-16 163211.963929+00
id-640038,Holdcut,1,46,2011-05-16 163211.963929+00
id-3303027,Shanahan Radiology  TH3 ONE feat. Max Landry,4,4,2022-05-17 230637.365083+00
id-783244,Gow,1,17,2011-05-16 163211.963929+00
id-598683,Big Benny,1,98,2011-05-16 163211.963929+00
id-246778,Leergut,1,20,2011-05-16 163211.963929+00
rec-646571-dup-1,Les Elpges du Silence,1,18,2011-05-16 163211.963929+00
rec-646571-dup-0,Les Eloges du Sioence,1,18,2011-05-16 163211.963929+00
id-2701705,DJ Stickee  DJ Sam K,2,5,2020-05-04 060030.922125+00
id-576428,The Valiant Thieves,1,18,2011-05-16 163211.963929+00
id-457023,Your Conscience,1,8,2011-05-16 163211.963929+00
id-3306298,Trophy Wives,1,26,2022-05-22 014045.643762+00
id-946072,Willy Stamati,1,16,2012-02-17 195302.474831+00
id-953391,Ill Logic  Raf,1,23,2012-03-07 153210.975856+00
id-214902,Akimbo,1,59,2011-05-16 163211.963929+00
id-673179,Cloned In Vatican,1,4,2011-05-16 163211.963929+00
id-226997,Le Park,1,117,2011-05-16 163211.963929+00
id-182472,Gwenwed,1,80,2011-05-16 163211.963929+00
id-369843,The Contes,1,26,2011-05-16 163211.963929+00
id-2874342,Hansel,1,20,2020-12-11 180020.046587+00
id-2020711,Lights Out,1,14,2017-06-22 051636.195907+00
id-396178,Sweet and Innocent,1,13,2011-05-16 163211.963929+00
id-3379596,Armin Shimerman  David R. George lll,2,10,2022-08-20 170959.505484+00
id-597432,Andres Partamian,1,22,2011-05-16 163211.963929+00
id-140811,Claudia Gómez,1,62,2011-05-16 163211.963929+00
id-1027943,Jay-Jay,1,8,2012-08-02 205735.010209+00
id-593507,Funestum,1,4,2011-05-16 163211.963929+00
id-631268,Gitarrenarmee,1,10,2011-05-16 163211.963929+00
id-970024,Moskra,1,22,2012-04-14 073932.822621+00
id-694418,Arean,1,20,2011-05-16 163211.963929+00
id-562078,Papermoons,1,47,2011-05-16 163211.963929+00
id-476032,Brendan Costigane,1,8,2011-05-16 163211.963929+00
id-708006,P.H. Fat,1,36,2011-05-16 163211.963929+00
id-557175,Michael Hutchison,1,18,2011-05-16 163211.963929+00
id-358664,Tiny Powell,1,10,2011-05-16 163211.963929+00
id-1250501,Carpet,1,95,2013-12-19 142752.018491+00
id-615501,OSeis,1,8,2011-05-16 163211.963929+00
id-699067,Shivering in Static,1,4,2011-05-16 163211.963929+00
id-795270,General Bye Bye,1,48,2011-05-16 163211.963929+00
id-1335888,Savoy Singers with Savoy Sinfonietta conducted by Tony Baker,3,32,2014-07-10 230049.878736+00
id-695094,Hewar,1,22,2011-05-16 163211.963929+00
id-2617128,Stanley Black Orchestra,1,44,2020-02-06 070038.012345+00
id-190423,Artificial Duck Flavour,1,12,2011-05-16 163211.963929+00
id-353298,Samim  Michal,1,42,2011-05-16 163211.963929+00
id-2211488,Platstone Mallen Shaw,1,4,2018-05-05 152335.826521+00
id-2195646,Bayza,1,242,2018-04-10 185330.474664+00
rec-499471-dup-0,PDQ,1,6,2011-05-16 163211.963929+00
id-296184,Torrent,1,42,2011-05-16 163211.963929+00
id-1041350,Kongo Band,1,6,2012-08-27 191347.426584+00
id-661999,Ian McIntosh,1,52,2011-05-16 163211.963929+00
