label,gid,name,label_type,area,ended
229666,f5b7eeb27cfe4e6c90aa174b791a2754,Müllsound,Production,203,f
91879,eecc9028efc444e6a6422da6e0c81ba4,Picar,Bootleg Production,7978,f
91971,5e438beb29ae40a88ce3a451e71cb2b8,Mundo Records,,10,f
210601,95f41454839049dda9ee2264a643d1f8,Funnybone Records,,38,f
234487,203fc06cbc68409483bc2e904ed36195,Harmonic Witchcraft,,,f
92760,4e781bc3f64c4565945c65b694505cf4,plusGROUND,Imprint,107,f
228539,1038a966957a43eda49012aed1184403,url friends,,,f
213695,59d396806e134806b678c8d9ba621ec3,More Tea Vicar,,,f
96473,a4757b09f6574d2b86148d7b95ea98fb,CPM,Original Production,81,f
247629,cab3951412e345928c043470cdcfe89d,CD Kelly Productions,Production,,f
183429,76ed45e97b5f4596ba199f393010ed2c,hypercore19,Distributor,30636,f
42124,79608f1311234c82aedff20046e45e39,SplatterCat,,222,f
172241,64cce5bb55d449be89abb55d0141b6b3,Little Sandwich Music,,,f
212801,ae0ef5593e8f46098f68b2971885630f,Snippet recordings,,176,f
136842,899ea85d8ae648f3922b56a5786026f0,Nomad Music Group,,,f
207814,ff79ee3295be4a9db03b418d5a93465e,subskillz records,,113,f
66463,7b49db35ca6d4b79862c07410ae8421c,Reflex Magazine,,,f
68500,7a0c0b27443944269effd7a7c056d3df,RZO Music Ltd,Publisher,,f
174752,046d392fd02f4ecc9897e5a9540ed88d,Nomy Production,,,f
186918,79d204ac0f2d4b24aa67436c5d85d7f1,Checkmate Records,,,f
54194,bdf99e96dee14f58be7d9f074abedf36,Germ Recordings,Original Production,222,f
85789,8401a3bb9aa343e590d6ea7790fe836a,Levande Begravd Records,,,f
196186,3da0c4c0c2e1409b856f2032644b8e7f,From Below Productions,Publisher,,f
49311,f103134759064f6c80138a7c32c31916,Scranta Grammofon AB,,202,f
49722,d58082bbafbb4c3f9f709dcccd5c2a10,Zarepta,Production,160,f
51466,6708195cef0d4d2ea8b3cba72670f17c,Tender Loving Empire,Production,5147,f
177030,28559bd6e5a348e3aef208350580d0f8,Frequency,Publisher,150,f
178704,361cea8adefd452c8654a7900b364030,TBA Records,Production,57,f
241552,072ee79beb77429ca389fdbcc885aaba,Ishotcha Music,Distributor,,f
151085,dd091d7a1a4747f58c20c1a1942e09cb,The Fifth Kingdom,,3925,f
110037,07d9f1bf04554dff867562b9c2dc86d5,SMILE PROMOTION,,107,f
123906,465a8341503441f2804f7ad3976e6152,Space Queef Records,,,f
199334,6b9ddecdd91741689e8b7deba3c9412b,Warfear Collective,,116443,t
106962,1419a96306374f369646b05176cc938a,Warfuck Records,Production,47,f
4334,655aed82e2c443d7a927c1d21024eadd,Abeano Music,Original Production,221,f
150144,2422d759898a49b5b4ac5da5ef5b8a56,Universal MGB Autores Asociados,Publisher,194,f
87663,df3a550b905c491cb27b23478297062e,Tam Records,,,f
93292,8fa00b8c51e74f49b50e55f8e2334eb8,There Was an Old Woman Records,,,f
