artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-135422-dup-0,RIP SLYxME,RIP SxLYME,1994,,,,,,f,,,id-107,Japanese hophop group
rec-193885-dup-0,Danças Okvltas,Danças Okvltas,,,,,,,f,,,id-171,
rec-403749-dup-0,Martin Siegpart,Siegbart Martjn,1951,3,12,,,,f,,Male,id-14,Austrian consuctor and cellist
rec-42534-dup-0,Tommv McC9ok,MkCook Tommy,1927,3,3,1998,5,5,t,,Male,id-106,
rec-1038572-dup-0,bifgor,b:ffor,,,,,,,f,,Male,,Ponyvocaloid remixer
rec-157138-dup-1,Hoto Cbip,Hot Ch1p,2000,,,,,,f,,,rec-221-dup-0,
rec-310038-dup-0,The Wigs,Wigs Te,2002,,,,,,f,,,id-222,
rec-10184-dup-1,Sir Laurer:ce Olivier,Olivier Larence Sir,1907,5,22,1989,7,11,t,,Male,rec-221-dup-0,
rec-1274364-dup-0,Shenan'lgans,Shrnanigams,,,,,,,f,,,id-13,Austrakian educational troupe
rec-14557-dup-1,Jadi,Jaiz,,,,,,,f,,,rec-221-dup-0,British Progressive Rock Bancl
rec-794376-dup-1,ThwPlaytones,Playtones Tbe,2008,,,,,,f,,,id-202,
rec-9460-dup-0,Muslim9ause,Muzlimgsuze,1961,6,7,1999,1,14,t,,Male,rec-221-dup-0,
rec-678834-dup-1,Rais0n Vsrner,Vaahner Raion,,,,,,,f,,,,
rec-116496-dup-0,Crimpzbrine,Crirnpshrin,1982,,,1989,,,t,,,id-222,
rec-1192305-dup-1,Xenostcape5,Xenoawcapes,,,,,,,f,,Male,,Minimal Techno Benny Mcgri9or
rec-101230-dup-0,Te Spariiels,Spaniw|s The,1952,12,,1974,,,t,,,id-222,
rec-94-dup-0,John Wlllians,Willims John,1932,2,8,,,,f,,Male,id-222,soundtrack composrr  conductor
rec-1863653-dup-1,FFForecast,FFF0recasd,,,,,,,f,,Male,rec-271-dup-0,Vito James 62nd alias
rec-190235-dup-0,Erikh Kunjel,Kunstel Erich,1935,3,21,2009,9,1,t,,Male,id-222,comductor
rec-187428-dup-1,Erlend Ksroser,Krauser rlerid,1958,7,19,,,,f,,Male,id-81,
rec-186640-dup-0,Reparata  Tbe Delrobs,Reparata  The Deirons,1962,,,2000,,,t,,,id-222,
rec-53275-dup-1,Lars Lkholt,Lllolt Lars,1953,3,14,,,,f,,Male,id-57,
rec-473384-dup-1,Beahnard Xolodl,Xolotl Bermzrd,1951,,,,,,f,,Male,id-73,
rec-193885-dup-2,Danças Oultas,Dançaz Oculta5,,,,,,,f,,,id-171,
rec-348206-dup-0,Tourostt,Tourit,,,,,,,f,,,,Grovp
rec-248828-dup-1,The Wailercl,Wailer5 T7he,1963,,,1974,,,t,Group,,id-106,60s – 70s Jamaican Reggae band of Wailer Marly  Tosh
rec-60161-dup-2,Claudinh0  Buchdcha,Claudinho  Buxecha,1996,,,2002,7,,t,,,id-30,
rec-113554-dup-0,Brinsley cScwarz,Brins|ev Schwarz,1969,,,1975,3,18,t,,,rec-221-dup-0,the band
rec-227829-dup-1,ErcE,Erc8E,1973,,,,,,f,,Male,id-81,Erki Ergün
rec-818520-dup-0,Sea Dwezler,Sea Dweliwr,,,,,,,f,,,,
rec-41118-dup-0,The Coahris,C0ahries The,1962,,,1990,,,t,,,id-434,
rec-58636-dup-1,Andrés Cqkamaro,Calqmar0 Andrés,1961,8,22,,,,f,,Male,rec-10-dup-0,
rec-33800-dup-0,Duke Ellington and uHis Orcbestra,Ellington Duke akd His Orchestra,1927,,,1938,,,t,,,id-222,
rec-660023-dup-0,Tocha Pri,Tocba Pto,,,,,,,f,,Male,id-194,
rec-37180-dup-1,Marco Antonho Solís,S0lís Marco Anton:o,1959,12,29,,,,f,Person,Male,id-138,
rec-634481-dup-1,Mortuus Infrsdoaemoni,Mortuus Itmfradaemoni,2005,,,,,,f,,,id-81,
rec-128831-dup-2,Lej Reines Prochained,Reines Prochairieps Les,1987,,,,,,f,,,id-203,
rec-346601-dup-2,Mon5ters of Liedermaching,Mon5ters of Liedermacing,2003,,,,,,f,,,id-81,
rec-866551-dup-1,kovz,loud,,11,28,,,,f,,Male,id-107,
rec-139482-dup-1,The Doahsey Brotners Orchestra,Dorsey Br0thers Orhestra The,,,,,,,f,,,id-222,
rec-1448809-dup-1,Old North Fwstival Cheorus,Old North Fjtival Chorus,,,,,,,f,,,id-82557,
rec-2860-dup-0,A Flock of Seaguls,Flock of Seagulkj A,1980,,,,,,f,,,rec-221-dup-0,
rec-1286973-dup-0,Ajdy Reecl,Rid Ancly,,,,,,,f,,Male,id-222,
rec-879928-dup-0,王蓮,Wang Hsirilieri,1960,,,,,,f,,Female,rec-205-dup-0,
rec-79821-dup-0,Numpees,Numyers,2000,,,,,,f,,,id-222,San Francisko noiserock trio
rec-876499-dup-2,Cartuas Band,Cartolaj Bant,,,,,,,f,,,,
rec-338710-dup-0,Cano0f1e,Cab0ofle,,,,,,,f,,,,
rec-36683-dup-2,Ju5zi Björling,Björlin J7ssi,1911,2,2,1960,9,9,t,,Male,id-202,tenoah
rec-186095-dup-0,Claudo Roditi,Rod'ltl Claudio,1946,5,28,2020,1,17,t,,Male,id-30,
rec-837200-dup-0,百蚊x,Hvaccw,2004,,,,,,f,,,id-7281,
rec-267507-dup-2,AG F|e1<,AG Flelf,1977,,,,,,f,,,id-56,
rec-181824-dup-0,Evaido Bra9a,Braga Eysldo,1948,9,28,1973,1,31,t,,Male,id-30,
rec-861811-dup-0,Unit7 Ohe,Unidy Ome,2011,,,,,,f,,,,futurepopsyrithpop
rec-645508-dup-1,Lora And4eşan,Andreşari Lavra,1982,,,,,,f,,Female,id-175,
