artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-813255,Rick Poppa Howard,Howard Rick Poppa,,,,,,,f,Person,Male,,
id-736898,Ukkonen,Ukkonen,,,,,,,f,Person,,,
id-231611,Adriano Jr.,Adriano Jr.,,,,,,,f,Person,,,
id-67817,Sonic Adventure Project,Sonic Adventure Project,,,,,,,f,,,,
id-455094,Collectif Mu,Collectif Mu,,,,,,,f,Group,,,
id-333237,Aivi,Aivi,,,,,,,f,Group,,,
id-577818,Grupo Vocal Universo,Grupo Vocal Universo,,,,,,,f,,,,
id-417923,Ahlev De Bossa,Ahlev De Bossa,,,,,,,f,Group,,,
id-787165,Tantara,Tantara,2009,9,9,,,,f,Group,,,
id-1781130,Christophoros Triantaphilopoulos,Triantaphilopoulos Christophoros,,,,,,,f,Person,,,
id-697570,Masterfleet,Masterfleet,,,,,,,f,Group,,,
id-690472,Twig,Twig,,,,,,,f,Person,,,Torsten Mauss
id-370518,3 Chairs,3 Chairs,,,,,,,f,Group,,,
id-110678,Worldless People,Worldless People,,,,,,,f,Group,,,
id-750437,Monday Eternal,Monday Eternal,2006,,,,,,f,Group,,,
id-533629,Beggars Circus,Beggars Circus,,,,,,,f,Group,,,
id-286679,Backhand,Backhand,,,,,,,f,,,,
id-522281,Twenty-Third Regiment Band of New York,Twenty-Third Regiment Band of New York,,,,,,,f,Group,,,
id-166680,Nightbreed,Nightbreed,,,,,,,f,Group,,,Essex UK drum n bass duo
id-485830,Good Groove w/ Soul,Good Groove w/ Soul,,,,,,,f,Group,,,
id-395402,When They Know You They Will Run,When They Know You They Will Run,,,,,,,f,Group,,,
id-361956,Air Conditioning,Air Conditioning,,,,,,,f,,,,
id-188277,United Soul,United Soul,,,,,,,f,,,,
id-2237267,Dion Cooper,Dion Cooper,,,,,,,f,Person,Male,,
id-861671,The Asphalt,Asphalt The,,,,,,,f,,,,
rec-1861404-dup-0,Lesleyanne Carney,Carney Lejleyanne,,,,,,,f,Person,,,
id-366203,Alaska  Nucleus,Alaska  Nucleus,,,,,,,f,Group,,,
id-729264,Bobby O  His Banana Republic,O Bobby  His Banana Republic,,,,,,,f,Person,,,
id-751341,Fis-t,Fis-t,,,,,,,f,,,,
id-1237625,Bunker Funk,Bunker Funk,,,,,,,f,Person,Male,,
id-1119311,Nseven,Nseven,,,,,,,f,,,,
id-417692,Matt Walker  The Necessary Few,Walker Matt  Necessary Few The,,,,,,,f,Group,,,
id-336068,Sonic Belligeranza,Sonic Belligeranza,,,,,,,f,Person,,,
id-497588,Amanita y los Faloides,Amanita y los Faloides,2007,,,,,,f,Group,,,
id-76908,Yo Yo Honey,Yo Yo Honey,,,,,,,f,Group,,,
id-294836,Draculas Daughter,Draculas Daughter,,,,,,,f,,,,
id-130495,In Credo,In Credo,,,,,,,f,Person,Male,,
id-716713,Heat Conference,Heat Conference,,,,,,,f,,,,
id-716712,Xiphiidae,Xiphiidae,,,,,,,f,Person,,,
id-2248524,Jordan St. Cyr,Saint Cyr Jordan,,,,,,,f,Person,Male,id-314,
id-787622,Robert Bujak,Bujak Robert,,,,,,,f,Person,,,
id-216178,A Bitter Farewell,A Bitter Farewell,,,,,,,f,,,,
