artist_credit,name,artist_count,ref_count,created
id-2534501,Los Piringundines,1,50,2019-11-01 060147.629015+00
id-379955,Die Beinahe Sechs,1,36,2011-05-16 163211.963929+00
rec-1142558-dup-0,Kifa,1,22,2013-03-22 161224.722908+00
id-619447,Jose Manuel,1,31,2011-05-16 163211.963929+00
id-1134215,Arklight,1,214,2013-03-02 033139.642288+00
id-211990,Daniel Cox,1,42,2011-05-16 163211.963929+00
id-293115,Satisfaction,1,26,2011-05-16 163211.963929+00
id-683685,Zehl Freebass,1,12,2011-05-16 163211.963929+00
id-299779,Phoenix and the Turtle,1,69,2011-05-16 163211.963929+00
id-290139,Ylid,1,72,2011-05-16 163211.963929+00
id-322346,The Global Insert Project,1,12,2011-05-16 163211.963929+00
id-795022,Ex Wife,1,48,2011-05-16 163211.963929+00
id-234404,Even Vast,1,77,2011-05-16 163211.963929+00
id-256389,Concombre Zombi,1,34,2011-05-16 163211.963929+00
id-309186,DJ Costa,1,66,2011-05-16 163211.963929+00
rec-464016-dup-1,White Prude,1,40,2011-05-16 163211.963929+00
id-37251,Niederschlag,1,42,2011-05-16 163211.963929+00
id-302046,Last Hours of Torment,1,12,2011-05-16 163211.963929+00
id-522865,Endless Torture,1,16,2011-05-16 163211.963929+00
id-1307145,Dirty Loops,1,199,2014-04-26 130139.436023+00
id-365922,Francesco Maria Bassano,1,2,2011-05-16 163211.963929+00
id-685684,Asiago,1,42,2011-05-16 163211.963929+00
rec-2648578-dup-0,Rysn Tregurtha,1,6,2020-03-12 141055.527277+00
id-365926,Ma Jana,1,10,2011-05-16 163211.963929+00
id-526150,Stack,1,2,2011-05-16 163211.963929+00
rec-524002-dup-1,Joe Maxwdll,1,20,2011-05-16 163211.963929+00
rec-524002-dup-0,Joe Maxweli,1,20,2011-05-16 163211.963929+00
id-1482625,Charlie Padfield,1,40,2015-05-27 124439.739699+00
id-1823738,T‐Bone,1,399,2016-12-25 050031.490375+00
id-272625,Kid Rodriguez,1,28,2011-05-16 163211.963929+00
id-2362497,George Belasco  O Cão Andaluz,1,36,2019-02-07 230047.616691+00
id-438053,Black Ramps,1,8,2011-05-16 163211.963929+00
id-475781,Indecision,1,12,2011-05-16 163211.963929+00
rec-3219890-dup-1,Micki Rojnae,1,8,2022-02-06 081220.218756+00
rec-3219890-dup-0,Micki Rinnae,1,8,2022-02-06 081220.218756+00
id-2337084,megawolf77,1,150,2019-01-02 124808.305253+00
id-2603133,Boop Prook  Kakan,3,23,2020-01-22 090200.362022+00
id-961459,Psyckmobylettes,1,8,2012-03-27 133637.445554+00
id-2019325,freq_out,1,12,2017-06-18 165908.315811+00
id-979533,Hayden Dunstan,1,4,2012-05-04 084828.227877+00
id-386652,Miskate,1,56,2011-05-16 163211.963929+00
id-252095,Raquel De Grimstone,1,54,2011-05-16 163211.963929+00
id-959622,Dagar Brothers,1,4,2012-03-23 025401.695983+00
id-403407,mike got spiked,1,74,2011-05-16 163211.963929+00
id-141807,Gypsy Sun,1,22,2011-05-16 163211.963929+00
rec-304855-dup-1,Rodr:go Bay,1,12,2011-05-16 163211.963929+00
id-248813,Ex-Wise Heads,1,199,2011-05-16 163211.963929+00
id-592337,The Big Casino,1,6,2011-05-16 163211.963929+00
id-1349861,Hana,1,5,2014-08-14 092736.264612+00
id-694759,Batphone,1,12,2011-05-16 163211.963929+00
id-253619,Fascinating Rhythm,1,12,2011-05-16 163211.963929+00
