artist_credit,name,artist_count,ref_count,created,gid
id-1484515,David Eddings read by Cameron Beierle,2,220,20150530 12041563310900,f9cdd880b2e832339059cfeaec5bbda9
id-60465,Supergroove,1,337,20110516 16321196392900,66655cf3b2733e15a361be0ef586775e
id-54427,Dilba,1,117,20110516 16321196392900,9d79cffe01da3b418abb202a585fcf02
id-340959,Özdemir Erdoğan,1,916,20110516 16321196392900,71a59bf35c523c1cb91fcd38099a1057
id-115213,Abe Schwartzs Orchestra,1,113,20110516 16321196392900,b6ff4aab09d730c7a531f0ff923b5119
id-663679,Toomas Anni,1,1105,20110516 16321196392900,698f7f3f37ff3322a8d2f0c9893fa392
id-32368,The Blenders,1,406,20110516 16321196392900,2ab96144301e36a7b041aeeb66c6d3ab
id-1038835,Youngblood Hawke,1,154,20120822 11154645977500,c31b9522bb723d99b8d0596a5839a272
id-125932,Amp,1,412,20110516 16321196392900,139da08282a73034989eaaea26c3fa14
id-470716,Ayn Rand,1,2011,20110516 16321196392900,70e663d9e6323d80b7f11962c328845c
id-122373,Jon Lord,1,518,20110516 16321196392900,0dd0427f8ab936f98ff1c33bbcd175cb
id-349617,Krêposuk,1,122,20110516 16321196392900,f1802877930739cba634d3fe7a46eb60
id-109937,7th Moon,1,40,20110516 16321196392900,4bcf4e5ecca43da8ad90ac0e2469f47d
id-436983,Ebu Gogo,1,72,20110516 16321196392900,f59afb5664f138e49aaf4bde29f9edce
id-1956044,青野武,1,10,20170225 06560282273200,579124c82fff33829d8e8958a75706cd
id-84818,Oboroh,1,94,20110516 16321196392900,4e4d1a188c1b32b49c50dbf476975e2c
id-22684,Sizzla,1,3831,20110516 16321196392900,da9c5c49f17333c4a429402d744d7c81
id-1187344,Inferno,1,22,20130704 09022721674600,d2b36865163e36828304cb274589ea2d
id-225142,Jing Chi,1,94,20110516 16321196392900,5ee2349e6cef3c5bb999689c839022b8
id-10536,Os Mutantes,1,1124,20110516 16321196392900,478ae595ec2b356dabf2ad503998300b
id-230435,Science Fiction Idols,1,74,20110516 16321196392900,26375651c7a9327991a152d0f7beace9
id-140140,Forseti,1,173,20110516 16321196392900,9d53963b02973306a4f7d0751c742c5a
id-595336,Barry Luft,1,80,20110516 16321196392900,a717182e0a9834b09a4c4c15dc692e72
id-1810,The Platters,1,9903,20110516 16321196392900,0b1e3926c1bf35edae2b0ab18e02393c
id-1147025,Burns Blue,1,26,20130402 12381539726500,a3acf8380a773514b3744117a8b301e0
id-123306,The Baptist Generals,1,122,20110516 16321196392900,fc6411e5d3593bdca6202997c937e7aa
id-382961,Portal,1,214,20110516 16321196392900,50d5d4f904d93215bbb303892233477f
id-67631,Passenger,1,50,20110516 16321196392900,a1f86570cab23d8c8bc5d0885767b1e0
id-824,Lynyrd Skynyrd,1,7397,20110516 16321196392900,d78c7486b6493d3d930941da699ff6a6
id-102761,Unique II,1,263,20110516 16321196392900,a4a25919b7cf3a3a99a0f82d9ac08068
id-14157,Dream,1,187,20110516 16321196392900,5bc47c66ff433c299a95e23515bbd7ba
id-381514,Youthmovies,1,114,20110516 16321196392900,ae08226a200a3b0ea08fcd7e00625819
id-9971,Status Quo,1,13759,20110516 16321196392900,a366d373c00930b2882cdc508c85bf94
id-2630132,The Hollywood Edge,1,3318,20200221 04474058524300,5f1d264e52673b709383855be9830fc3
